,Missouri,22589425,-90.31353455,38.77066636,-90.31250455,38.77153909,29,189,211600,29189211600,29189211600,Random Tract,0.001350021,0.010746223,No SV
Orchard Ave,California,7330084,-118.1995818,33.97795182,-118.1999436,33.97576818,6,37,533602,6037533602,6037533602,Random Tract,0.00221341,0.013512114,Selected
Sandy Ln,Texas,38297465,-97.19876636,32.74581273,-97.19882818,32.74471182,48,439,101301,48439101301,48439101301,Random Tract,0.001102644,0.015777,Selected
S 22nd St,Indiana,15601826,-87.38359727,39.46243273,-87.38359636,39.46112273,18,167,1500,18167001500,18167001500,Random Tract,0.00131,0.01725561,Selected
Harrison St,Missouri,21734716,-94.57745909,38.97222636,-94.57756,38.97115364,29,95,9700,29095009700,29095009700,Random Tract,0.001077456,0.017449228,No SV
N Tully Rd,California,6771398,-121.1330345,38.14742364,-121.1385655,38.15300909,6,77,4701,6077004701,6077004701,Random Tract,0.007860611,0.01850146,Selected
Van Buskirk Park,California,6573015,-121.2935145,37.92035636,-121.2925718,37.91841909,6,77,2502,6077002502,6077002502,Random Tract,0.00215446,0.023195933,Partial SV
Rainbow Dr,Wisconsin,44185915,-87.98320727,42.92650909,-87.98592727,42.92626909,55,79,140202,55079140202,55079140202,Random Tract,0.002730568,0.024914757,Selected
Boonton Ave,New Jersey,26362985,-74.34723818,40.98346818,-74.34835182,40.97888,34,27,40701,34027040701,34027040701,Random Tract,0.004721397,0.027265187,Selected
County Road 184,Missouri,21861357,-93.69909182,39.14966818,-93.69946818,39.14401455,29,107,90200,29107090200,29107090200,Random Tract,0.005666143,0.028685814,No SV
263rd Ave SE,Washington,42862544,-121.8792409,47.88415909,-121.8795064,47.88864,53,61,52207,53061052207,53061052207,Random Tract,0.004488769,0.031884134,No SV
McKinney St,Michigan,20786764,-82.94034455,42.42446818,-82.93760636,42.42802,26,163,500800,26163500800,26163500800,Random Tract,0.004484764,0.034010697,Selected
I 71,Ohio,29928816,-81.69322,41.47501182,-81.69336727,41.47737273,39,35,104400,39035104400,39035104400,Random Tract,0.002365499,0.035513724,Inappropriate Segment (Freeway)
Speight Ave,Texas,39678310,-97.11374546,31.54643,-97.11641818,31.54668636,48,309,300,48309000300,48309000300,Random Tract,0.002684987,0.041328268,Selected
