W 1st St,California,7361747,-118.3067173,34.07370364,-118.30792,34.07371,6,37,211410,6037211410,6037211410,Random Tract,0.441479624,Selected
S 5th St,Indiana,15598937,-87.41123545,39.45560273,-87.41123545,39.45242273,18,167,800,18167000800,18167000800,Random Tract,0.444793855,Selected
Brookline St,Virginia,41956215,-77.51653909,37.50011182,-77.51695455,37.50003818,51,760,70700,51760070700,51760070700,Random Tract,0.446449627,Inappropriate Segment (Too short)
N 131st Dr,Kansas,16913360,-94.88100364,39.17673273,-94.88096909,39.17904182,20,209,44803,20209044803,20209044803,Random Tract,0.449863607,Selected
Parking Lot,Indiana,16213104,-85.13936273,41.13081091,-85.13927818,41.12929,18,3,3304,18003003304,18003003304,Random Tract,0.452474154,No SV
Muskogee St,Texas,39362256,-98.58521727,29.41584364,-98.58777091,29.41596818,48,29,171500,48029171500,48029171500,Random Tract,0.456837705,Selected
Somerville Rd,Maryland,19384513,-76.35047818,39.49622091,-76.34720182,39.49040727,24,25,301202,24025301202,24025301202,Random Tract,0.462984094,No SV
Driveway,Michigan,20288885,-83.77910636,42.28503727,-83.77884636,42.28548364,26,161,403400,26161403400,26161403400,Random Urban,0.463493592,Partial SV
S 1st St,Oklahoma,30556747,-97.74473273,35.49520273,-97.74472818,35.49342818,40,17,301201,40017301201,40017301201,Random Tract,0.471465952,Selected
Gordon St,Louisiana,18355420,-90.01182,29.96114364,-90.01134727,29.96209818,22,71,904,22071000904,22071000904,Random Tract,0.473457005,Selected
I 678,New York,28705769,-73.83514636,40.73247273,-73.83464,40.73149909,36,81,79300,36081079300,36081079300,Random Urban,0.473905207,Inappropriate Segment (Freeway)
Walther Blvd,Maryland,19372610,-76.49359455,39.40646636,-76.49220182,39.40800727,24,5,411410,24005411410,24005411410,Random Tract,0.478709017,No SV
Robertson St,Texas,40502083,-95.35746182,29.80662909,-95.35748091,29.80723,48,201,210700,48201210700,48201210700,Random Urban,0.481657852,Selected
NW De Bracy Ave,Oklahoma,30496511,-98.46281182,34.63470909,-98.46335273,34.63520636,40,31,401,40031000401,40031000401,Random Tract,0.485041969,Partial SV
H St NW,District of Columbia,9574767,-77.05013,38.89957545,-77.05143,38.89956636,11,1,5600,11001005600,11001005600,Random Tract,0.489452726,Selected
Tower Hill Dr,Illinois,15010449,-88.35279273,41.91263091,-88.35161091,41.90950545,17,89,852202,17089852202,17089852202,Random Tract,0.492838819,No SV
W Farragut Ave,Illinois,15259285,-87.68430818,41.97688273,-87.68677727,41.97683727,17,31,40100,17031040100,17031040100,Random Urban,0.499423997,Selected
Lake Limestone Dr,Louisiana,18194423,-91.04944364,30.41439727,-91.04936545,30.41225364,22,33,3907,22033003907,22033003907,Random Tract,0.500539606,Selected
