instrument,number,item_name,module,skip_pattern,one_side_only,item_question,response_code_1,response_code_2,response_code_3,response_code_4,response_code_5,response_code_6,response_code_7,response_code_8,response_code_9,response_code_10,response_code_11
Meta,1,Meta.1,Meta,,0,How many steps long is the segment?,Write in %,,,,,,,,,,
Meta,2,Meta.2,Meta,,1,For how many of those steps is the view obstructed?,Write in %,,,,,,,,,,
Meta,6,Meta.6,Meta,,0,Which camera technology does this segment use?,Dark,Bright,Other,,,,,,,,
Meta,7,Meta.7,Meta,,0,Where are you doing the street rating?,Office,Home,Other,,,,,,,,
PEDS,3,PEDS.3,Intersection,,0,What type of intersection is this?,3-way,4-way,5+ way,Traffic circle,Other type,Deadend but path continues,Segment ends,,,,
Minn-Irvine,9,Minn-Irvine.9,Intersection,,0,What kind of traffic signal is provided?,Traffic signal,Stop sign,Yield sign,Multiple,None,,,,,,
PEDS,23.2,PEDS.23.2,Intersection,,0,Is there a pedestrian signal?,Yes,No,,,,,,,,,
Minn-Irvine,2,Minn-Irvine.2,Intersection,,0,Consider the places that are intended for pedestrians to cross the street. Are these places marked for pedestrian crossing?,All,Some,None,Not applicable,,,,,,,
Minn-Irvine,4,Minn-Irvine.4,Intersection,Minn-Irvine.2==2,0,How is the road marked at crosswalks?,White painted lines,Colored painted lines,White zebra stripes,Colored zebra stripes,Different road surface,Other,Not marked at all,,,,
PEDS,23.4,PEDS.23.4,Intersection,,0,"Is there any kind of traffic calming device (curb extension, chicane, choker, speed bump, rumble strip, dimple, etc)",Yes,No,,,,,,,,,
PEDS,23.3,PEDS.23.3,Intersection,,0,Is there a median/traffic island large enough for a pedestrian to stand on?,Yes,No,,,,,,,,,
Minn-Irvine,8,Minn-Irvine.8,Intersection,,1,Do you see any curb cuts on the block face?,Yes,No,Cannot tell,Not applicable - no sidewalk,,,,,,,
Minn-Irvine,21,Minn-Irvine.21,Road_parking,,0,How many lanes are there for cars (include turning lanes but not including parking lanes)?,1,2,3,4,5,6+,Not applicable,,,,
PEDS,14,PEDS.14,Road_parking,,0,What is the condition of the road?,Poor,Fair,Good,Under repair,,,,,,,
Minn-Irvine,151,Minn-Irvine.151,Road_parking,,0,What kind of on-street parking is there?,Parallel,Diagonal,None,,,,,,,,
PEDS,19,PEDS.19,Road_parking,,1,Do you have to walk through a parking lot to get to most buildings?,Yes,No,Not applicable - no buildings,,
Minn-Irvine,108,Minn-Irvine.108,Bike,,0,Are there bicycle lanes and if so how are they demarcated?,No bike lanes,On road-painted line or reflectors,On road-physical separation,Off road,
Minn-Irvine,123,Minn-Irvine.123,Bike,,1,Are there bike racks (bike parking facilities) on the block?,Yes,No,,,
PEDS,24.1,PEDS.24.1,Bike,,0,"Are there bike route signs, bike crossing warnings, or sharrows on the segment? ",Yes,No,,,
PEDS,4.1,PEDS.4.1,Sidewalk,,1,What type of sidewalk or path (paved or unpaved) is there?,Footpath (unpaved),Sidewalk,Pedestrian street (closed to cars),None,
PEDS,12,PEDS.12,Sidewalk,PEDS.4.1==3,1,Is the sidewalk complete/continuous?,Complete,Incomplete,Not applicable-no sidewalk,,
PEDS,6,PEDS.6,Sidewalk,PEDS.4.1==3,1,In what condition is the sidewalk or pedestrian path?,Good,Fair,Poor,Under repair,Not applicable-no sidewalk or paved trail
PEDS,9,PEDS.9,Sidewalk,PEDS.4.1==3,1,Is the sidewalk right next to the curb?,Yes,No,Not applicable - no sidewalk,,
PEDS,8.2,PEDS.8.2,Sidewalk,PEDS.4.1==3,1,Are there trees between the road and the path/sidewalk?,Yes,No,Not applicable-no path,,
PEDS,35,PEDS.35,Other_road_SW,,1,Is there a bus stop and if so what kind?,Bus stop with shelter,Bus stop with bench,Bus stop with signage only ,No bus stop,
Minn-Irvine,159,Minn-Irvine.159,Other_road_SW,,0,Are any billboards visible from the segment?,Yes,No,,,
Streetview,2,Streetview.2,Other_road_SW,Minn-Irvine.159==1,0,Do any billboards advertise healthy food?,Healthy Food,Unhealthy Food,Other Food,Non-Food,
Minn-Irvine,178,Minn-Irvine.178,Other_road_SW,,1,"For an individual on this segment, how convenient (traffic-wise) do you think it is to cross the street from this segment?  (Note: the street in question is the street along the segment being rated, not any cross streets.)",Pretty/very convenient,Not very or inconvenient,Not applicable-cul de sac,,
CCAHS,2,CCAHS.2,Land_Use,,1,Are there any high-rise apartment buildings (6 stories or more)?,Yes,No,,,
