Granard Ave,Kentucky,17479386,-84.48548273,38.05906273,-84.48669273,38.06017636,21,67,200,21067000200,21067000200,Random Tract,0.950521727
,Missouri,22352747,-90.90113909,38.76210273,-90.89848364,38.76181818,29,183,312202,29183312202,29183312202,Random Tract,0.959835486
Oakwood Ave,Florida,10366559,-81.03233636,29.18274909,-81.0322,29.18210909,12,127,82303,12127082303,12127082303,Random Tract,0.963939926
S Quentin Rd,Illinois,15043917,-88.06305455,42.10045636,-88.06304818,42.09954545,17,31,803700,17031803700,17031803700,Random Tract,0.966925826
John R St,Michigan,20752404,-83.10203273,42.42408,-83.10203455,42.42414364,26,163,507800,26163507800,26163507800,Random Tract,0.968603684
Lark Ave,Texas,39134481,-98.23592182,26.26166818,-98.23766818,26.26190182,48,215,23505,48215023505,48215023505,Random Tract,0.969436169
Albert Dr,New Jersey,26557782,-74.29751545,40.46176909,-74.29701273,40.46099545,34,23,7303,34023007303,34023007303,Random Tract,0.97032708
Bayou View Dr,Texas,40917050,-95.04654,29.56840364,-95.04233,29.56816182,48,201,341500,48201341500,48201341500,Random Tract,0.971794286
US Hwy 20,Ohio,29883765,-82.09382364,41.32419364,-82.10360091,41.32184182,39,93,71300,39093071300,39093071300,Random Tract,0.974057799
W 3rd St,Ohio,29917304,-81.69840364,41.50205455,-81.69691545,41.50043273,39,35,107100,39035107100,39035107100,Random Tract,0.979906819
Old Shell Rd,Alabama,3069203,-88.18208273,30.69017455,-88.18426636,30.69013091,1,97,3605,1097003605,1097003605,Random Tract,0.981760752
Randalls Is,New York,28599060,-73.91859273,40.79653364,-73.91902,40.79606182,36,61,24000,36061024000,36061024000,Random Tract,0.983077259
Glen Rd,Massachusetts,18745716,-71.08994,42.15395,-71.09113636,42.15423091,25,21,415200,25021415200,25021415200,Random Tract,0.984465629
N 45th Ter,Kansas,16920839,-94.68439727,39.13603,-94.68433818,39.13872727,20,209,40500,20209040500,20209040500,Random Tract,0.992235351
College St,Virginia,41729819,-79.18132,37.39679727,-79.18537909,37.39601091,51,680,203,51680000203,51680000203,Random Tract,0.996018903
