W 37th St,Illinois,15253745,-87.63508364,41.82724364,-87.63595273,41.82723091,17,31,340600,17031340600,17031340600,Random Urban,0.151598675
34th St,New York,28677312,-73.93166091,40.73831727,-73.93285091,40.73788182,36,81,19100,36081019100,36081019100,Random Urban,0.159136403
E Dry Creek Rd,Arizona,4756756,-112.0252482,33.31136182,-112.0237282,33.31202818,4,13,116721,4013116721,4013116721,Random Urban,0.163715966
Bronx Park E,New York,28634853,-73.87047091,40.86795273,-73.87052,40.86966909,36,5,33600,36005033600,36005033600,Random Urban,0.165362706
S Woodlawn Ave,Illinois,15409754,-87.59653364,41.79505,-87.59647,41.79326727,17,31,411300,17031411300,17031411300,Random Urban,0.178155744
Ocean View Blvd,California,8064444,-117.13535,32.70211727,-117.1338336,32.70116,6,73,4900,6073004900,6073004900,Random Urban,0.193143741
Fox St,California,7262170,-118.4463236,34.27144364,-118.4471627,34.27083636,6,37,109500,6037109500,6037109500,Random Urban,0.199480276
E 24th St,Arizona,5139637,-110.8708073,32.20400273,-110.8665191,32.20402909,4,19,3503,4019003503,4019003503,Random Urban,0.20226245
Don Valdes Dr,California,7163633,-118.3528264,34.00525455,-118.3547836,34.00369,6,37,236400,6037236400,6037236400,Random Urban,0.241011117
Archibald St,Missouri,21717815,-94.58752909,39.05354364,-94.58861364,39.05302909,29,95,6800,29095006800,29095006800,Random Urban,0.248318364
