MIUDQ,27,activity,,complexity,"5. number of people (your side, within study area)",,,,,,,,,
MIUDQ,21,activity,,transparency,"3. proportion active uses (your side, within study area)",,,,,,,,,
Minn-Irvine,156,aesthetics,architecture,Interesting architecture?,interesting/somewhat interesting/uninteresting,,,,,,,,,
Minn-Irvine,17,aesthetics,art or banners,Banners,to identify neighborhood some or a lot/few/none,,,,,,,,,
MIUDQ,26,aesthetics,art or banners,complexity,"4. number of pieces of public art (both sdies, within study area)",,,,,,,,,
Minn-Irvine,163,aesthetics,art or banners,Monuments or markers,indicate neighborhood entry yes/no (far end of segment),,,,,,,,,
Minn-Irvine,158,aesthetics,art or banners,Public art visible,yes/no,,,,,,,,,
MIUDQ,3,aesthetics,historic,imageability,"3. proportion historic building frontage (both sides, within study area)",,,,,,,,,
MIUDQ,23,aesthetics,,complexity,"2a. number of  basic building colors (both sides, beyond study area)",,,,,,,,,
MIUDQ,24,aesthetics,,complexity,"2b. number of  accent colors (both sides, beyond study area)",,,,,,,,,
MIUDQ,5,aesthetics,,imageability,"5. number of buildings with non-rectangular shapes (both sides, within study area)",,,,,,,,,
Minn-Irvine,119,amenities,dining,Amenities-outdoor dining,some or a lot/few/none,,,,,,,,,
Minn-Irvine,120,amenities,street furniture,Amenities-benches,some or a lot/few/none,,,,,,,,,
MIUDQ,18,amenities,street furniture,human scale,"5. number of pieces of street furniture and other street items (your side, within study area)",,,,,,,,,
Minn-Irvine,157,amenities,vendors,Street vendors or stalls,some or a lot/few/none
PEDS,26.1,amenities,,Amenities,public garbage cans
PEDS,26.3,amenities,,Amenities,water fountain
Minn-Irvine,122,amenities,,Amenities-heat lamps,some or a lot/few/none
Minn-Irvine,124,amenities,,Public restrooms,yes/no
PEDS,27,amenities,,Wayfinding aids,yes/no
Minn-Irvine,108,bicycle,bike lane,Bike lanes,yes/no
Minn-Irvine,109,bicycle,bike lane,Bike lanes - type,painted line on road or reflectors/physical separation on road/off road
Minn-Irvine,123,bicycle,bike parking,Amenities-bike rack,some or a lot/few/none
PEDS,24.3,bicycle,bike parking,Bicycle facilities,visible bike parking
PEDS,24.1,bicycle,bike signs,Bicycle facilities,bike route signs
PEDS,24.4,bicycle,bike signs,Bicycle facilities,bike crossing warning
Minn-Irvine,127,buildings,height,Building height,"5+ stories/3-4/1-2/heights vary, no predominant height/NA"
Minn-Irvine,131,buildings,,Buildings -front porches,some or a lot/few/none/NA
Minn-Irvine,130,buildings,,Buildings-barred windows,some or a lot/few/none/NA
Minn-Irvine,133,buildings,,Buildings-garage doors facing,some or a lot/few/none/NA
MIUDQ,22,buildings,,complexity,"1. number of buildings (both sides, beyond study area)"
Minn-Irvine,63,buildings,,Distinctive retail types,"big-box stores (includes superstore, warehouse store)"
Minn-Irvine,64,buildings,,Distinctive retail types,shopping mall
