User,Segment ID,description,start_lat,start_lng,end_lat,end_lng,Meta.1,Meta.1_impediment,Meta.2,Meta.2_impediment,Meta.6,Meta.6_impediment,Meta.7,Meta.7_impediment,PEDS.3,PEDS.3_impediment,Minn-Irvine.9,Minn-Irvine.9_impediment,PEDS.23.2,PEDS.23.2_impediment,Minn-Irvine.2,Minn-Irvine.2_impediment,Minn-Irvine.4,Minn-Irvine.4_impediment,PEDS.23.4,PEDS.23.4_impediment,PEDS.23.3,PEDS.23.3_impediment,Minn-Irvine.8,Minn-Irvine.8_impediment,Minn-Irvine.21,Minn-Irvine.21_impediment,PEDS.14,PEDS.14_impediment,Minn-Irvine.151,Minn-Irvine.151_impediment,PEDS.19,PEDS.19_impediment,Minn-Irvine.108,Minn-Irvine.108_impediment,Minn-Irvine.123,Minn-Irvine.123_impediment,PEDS.24.1,PEDS.24.1_impediment,PEDS.4.1,PEDS.4.1_impediment,PEDS.12,PEDS.12_impediment,PEDS.6,PEDS.6_impediment,PEDS.9,PEDS.9_impediment,PEDS.8.2,PEDS.8.2_impediment,PEDS.35,PEDS.35_impediment,Minn-Irvine.159,Minn-Irvine.159_impediment,Minn-Irvine.178,Minn-Irvine.178_impediment,CCAHS.2,CCAHS.2_impediment,CCAHS.4,CCAHS.4_impediment,CCAHS.5,CCAHS.5_impediment,CCAHS.8,CCAHS.8_impediment,CCAHS.9,CCAHS.9_impediment,PEDS.1.4,PEDS.1.4_impediment,PEDS.1.5,PEDS.1.5_impediment,PEDS.1.6,PEDS.1.6_impediment,PEDS.1.7,PEDS.1.7_impediment,PEDS.1.8,PEDS.1.8_impediment,Minn-Irvine.33,Minn-Irvine.33_impediment,Minn-Irvine.34,Minn-Irvine.34_impediment,Minn-Irvine.127,Minn-Irvine.127_impediment,Minn-Irvine.132,Minn-Irvine.132_impediment,MIUDQ.10,MIUDQ.10_impediment,PEDS.33,PEDS.33_impediment,Minn-Irvine.130,Minn-Irvine.130_impediment,Minn-Irvine.22,Minn-Irvine.22_impediment,Minn-Irvine.17,Minn-Irvine.17_impediment,Minn-Irvine.119,Minn-Irvine.119_impediment,Minn-Irvine.120,Minn-Irvine.120_impediment,MIUDQ.18,MIUDQ.18_impediment,PEDS.26.1,PEDS.26.1_impediment,PEDS.2,PEDS.2_impediment,PEDS.28,PEDS.28_impediment,PHDCN.1,PHDCN.1_impediment,PHDCN.2,PHDCN.2_impediment,PHDCN.3,PHDCN.3_impediment,PHDCN.4,PHDCN.4_impediment,PHDCN.5,PHDCN.5_impediment,PHDCN.6,PHDCN.6_impediment,PHDCN.7,PHDCN.7_impediment
19,360,"Chelwynde Avenue, Philadelphia, Pennsylvania",39.899653,-75.252043,39.900559,-75.251209,9,,0,,0,,0,,4,,4,,1,,3,,6,,1,,0,,1,,1,,2,,0,,1,,0,,1,,1,,1,,0,,1,,1,,0,,3,,1,,0,,1,,1,,1,,0,,1,,1,,1,,1,,0,,1,,1,,1,,2,,1,,0,,2,,1,,1,,1,,1,,1,,0,,1,,0,,0,,1,,1,,1,,1,,1,,1,,1,
20,361,"   8157 Lyons Avenue, Philadelphia, Pennsylvania",39.899494,-75.245684,39.898192,-75.246868,15,,6,,0,,0,,1,,1,,1,,0,,2,,1,,1,,0,,1,,1,,0,,1,,0,,1,,1,,1,,0,,1,,1,,1,,3,,1,,0,,1,,0,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,2,,1,,15,,2,,1,,1,,1,,1,,1,,1,,1,,0,,0,,0,,1,,1,,1,,1,,1,,1,
20,362,"   7985 Mars Place, Philadelphia, Pennsylvania",39.903982,-75.250433,39.902631,-75.251684,19,,9,,0,,0,,1,,4,,1,,1,,0,,0,,0,,0,,1,,2,,0,,1,,0,,1,,1,,1,,0,,1,,0,,0,,3,,1,,0,,1,,1,,1,,0,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,0,,2,,1,,1,,1,,1,,1,,0,,1,,0,,1,,0,,1,,1,,1,,1,,1,,1,
21,363,"Lindbergh Boulevard, Philadelphia, Pennsylvania",39.903417,-75.243243,39.902122,-75.246931,30,,7,,0,,0,,0,,0,,1,,1,,0,,1,,1,,0,,0,,1,,0,,1,,0,,1,,1,,3,,2,,4,,2,,2,,3,,1,,0,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,3,,1,,0,,3,,2,,1,,1,,1,,1,,1,,1,,0,,1,,0,,1,,1,,1,,1,,1,,1,
19,364,"Grovers Avenue / South 72nd Street, Philadelphia, Pennsylvania",39.912015,-75.236634,39.912739,-75.234986,16,,2,,0,,0,,0,,1,,1,,1,,0,,1,,1,,0,,0,,2,,0,,1,,0,,1,,1,,1,,0,,0,,0,,1,,3,,1,,0,,1,,1,,1,,0,,1,,1,,1,,1,,1,,1,,1,,1,,2,,1,,0,,2,,1,,1,,1,,1,,0,,1,,1,,0,,0,,0,,1,,1,,1,,1,,1,,1,
19,365,"      2 Main Street, Pennsylvania",39.917268,-75.246348,39.916465,-75.248161,13,,0,,0,,0,,1,,0,,1,,1,,2,,1,,1,,0,,2,,1,,0,,1,,0,,1,,1,,1,,0,,1,,0,,1,,3,,0,,1,,1,,1,,0,,1,,0,,1,,0,,0,,0,,0,,0,,1,,2,,1,,15,,0,,1,,1,,1,,1,,1,,1,,1,,0,,1,,0,,1,,1,,1,,2,,1,,1,
23,366,"   2400 South 73rd Street, Philadelphia, Pennsylvania",39.916317,-75.241757,39.915383,-75.243103,12,,0,,0,,0,,1,,1,,1,,0,,2,,1,,1,,0,,1,,1,,0,,1,,0,,1,,1,,1,,0,,2,,1,,0,,3,,1,,0,,1,,1,,0,,0,,1,,1,,1,,1,,1,,1,,1,,1,,2,,1,,10,,1,,1,,1,,1,,1,,1,,0,,1,,0,,0,,0,,1,,1,,1,,2,,1,,1,
21,367,"   2659 South 70th Street, Philadelphia, Pennsylvania",39.916036,-75.236026,39.914825,-75.234673,16,,11,,0,,0,,1,,0,,1,,0,,2,,1,,1,,0,,1,,1,,0,,1,,0,,1,,1,,1,,0,,2,,0,,1,,3,,1,,0,,1,,1,,1,,0,,1,,1,,1,,1,,0,,1,,1,,1,,2,,1,,0,,1,,0,,1,,1,,1,,1,,1,,1,,0,,0,,0,,1,,1,,1,,2,,1,,1,
20,368,"Lindbergh Boulevard, Philadelphia, Pennsylvania",39.913412,-75.227182,39.912492,-75.228371,6,,3,,0,,0,,1,,4,,1,,1,,0,,1,,0,,0,,2,,1,,0,,1,,0,,1,,1,,1,,0,,1,,0,,0,,3,,1,,1,,1,,0,,1,,0,,1,,1,,1,,1,,0,,1,,1,,1,,1,,1,,0,,2,,1,,1,,1,,1,,1,,1,,1,,0,,0,,0,,1,,1,,1,,1,,1,,1,
19,369,"   2045 Cobbs Creek Parkway, Philadelphia, Pennsylvania",39.923783,-75.24562,39.920818,-75.246609,28,,6,,0,,0,,4,,4,,1,,1,,5,,1,,0,,3,,2,,2,,2,,1,,0,,1,,1,,3,,2,,4,,2,,2,,3,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,0,,0,,1,,3,,1,,0,,3,,2,,1,,1,,1,,0,,1,,1,,1,,1,,0,,1,,1,,1,,0,,1,,1,
